id,id_1,id_2,id_3,id_4,id_5,id_6,id_7
1,A/Christchurch/339/2004,A/New York/366/2004,A/Ashburton/280/2004,A/New York/319/2004,A/Christchurch/14/2004,A/New York/372/2004,A/Christchurch/13/2004
2,A/Siena/3/1995,A/Netherlands/5/1998,A/Hong Kong/49/1995,A/Johannesburg/10/1997,A/Hong Kong/1/1997,A/Netherlands/1/1995,A/Finland/381/1995
3,A/Netherlands/213/2003,A/New York/198/2003,A/New York/32/2003,A/Netherlands/217/2003,A/New York/204/2003,A/Wellington/01/2004,A/Fujian/445/2003
4,A/New York/150/2000,A/New York/316/1999,A/New York/430/2000,A/New York/171/1999,A/New York/321/1999,A/New York/142/2000,A/New York/180/2000
5,A/Memphis/59/1999,A/New York/250/1998,A/New York/324/1999,A/New York/456/1999,A/New York/458/1999,A/New York/278/1999,A/New York/289/1998
6,A/Singapore/1/1996,A/Wyoming/03/2003,A/Taiwan/9/2004,A/Hong Kong/HKU19/2004,A/Yucatan/844/2003,A/Hong Kong/HKU20/2004,A/Hong Kong/HKU29/2004
7,A/Malaysia/12974/1999,A/South Carolina/NHRC0001/1999,A/Auckland/10/1997,A/HaNoi/1766/2001,A/California/32/1999,A/Illinois/NHRC0001/1999,A/Georgia/NHRC0001/1999
8,A/New York/435/2000,A/Malaysia/10877/1999,A/Malaysia/10997/1999,A/Panama/2007/1999,A/New York/526/1997,A/New York/502/1998,A/New York/513/1997
9,A/New York/247/1998,A/New South Wales/15/1999,A/New York/601/1996,A/Dunedin/1/2000,A/Waikato/6/2000,A/Wellington/21/2000,A/New South Wales/4/1999
10,A/New York/100/2002,A/New York/110/2002,A/New York/192/2003,A/New York/213/2003,A/New York/71/2001,A/New York/193/2003,A/New York/99/2002
11,A/New York/11/2003,A/Mexico/DIF2662/2003,A/New York/22/2003,A/New York/46/2003,A/New York/10/2004,A/New York/59/2003,A/New York/65/2003
12,A/England/431/2003,A/England/442/2003,A/Scotland/76/2003,A/England/567/2003,A/Scotland/78/2003,A/England/787/2003,A/England/518/2003
